stop_id,stop_name,stop_lat,stop_lon
1439,COLLINS AV & HARBOUR WY E,25.895075,-80.124471
662,BAL HARBOUR SHOPS,25.888051,-80.123949
9326,HARDING AV & 94 ST,25.883766,-80.123515
9330,HARDING AV & 90 ST,25.876352,-80.122672
2662,HARDING AV & 85 ST,25.870404,-80.122554
2666,HARDING AV & 77 ST,25.861964,-80.122242
738,HARDING AV & 72 ST,25.857337,-80.122478
5556665,71 and abbott,25.856018795542,-80.1223830610275
2669,ABBOTT AV & INDIAN CREEK DR,25.852292,-80.122316
2671,INDIAN CREEK DR & 63 ST,25.844137,-80.121605
2674,COLLINS AV & # 5660,25.837331,-80.121096
2677,COLLINS AV & # 5333,25.831875,-80.122014
2679,COLLINS AV & OP # 5025,25.828023,-80.122049
2681,COLLINS AV & 4900 BLK,25.825259,-80.122221
2683,COLLINS AV & 4500 BLK,25.819191,-80.123112
2686,INDIAN CREEK DR & 43 ST,25.815023,-80.123732
430,INDIAN CREEK DR & 40 ST,25.812522,-80.124371
2691,INDIAN CREEK DR & 29 ST,25.80545,-80.126405
2694,COLLINS AV & 24 ST,25.800318,-80.12726
9887,COLLINS AV & 21 ST,25.796627,-80.128838
2699,COLLINS AV & 17 ST,25.792503,-80.129817
624,WASHINGTON AV & LINCOLN RD,25.78984,-80.131957
2767,WASHINGTON AV & 13 ST,25.784379,-80.132192
2769,WASHINGTON AV & 9 ST,25.779676,-80.133152
2772,WASHINGTON AV & 5 ST,25.774767,-80.134264
364,5 ST & LENOX AV,25.774525,-80.139828
7919,MAC ARTHUR CY & JAPANESE GARDENS,25.784551,-80.174746
10528,BISCAYNE BLVD & NE 13 ST,25.786789,-80.189219
6715,BISCAYNE BD & NE 9 ST,25.782701,-80.189706
6716,BISCAYNE BD & NE 6 ST,25.779876,-80.189216
626,BISCAYNE BD & NE 5 ST,25.778778,-80.188817
6627,BISCAYNE BD & NE 3 ST,25.777444,-80.188432
6664,NE 3 ST & NE 2 AV,25.777233,-80.189983
6661,NE 1 ST & NE 1 AV,25.775207,-80.192327
6662,NW 1 ST & N MIAMI AV,25.775162,-80.193939
104,STEPHEN P CLARK CENTER,25.775105,-80.196794
59,SW 1 ST & 1 CT,25.773176,-80.196472
10536,SW 1 ST & S MIAMI AV,25.773224,-80.193917
6663,SE 1 ST & SE 1 AV,25.77329,-80.192142
103,SE 1 ST & 3 AV,25.773425,-80.188235
remix-34041422,Untitled Stop,25.77934,-80.1885
10529,BISCAYNE BD & E FLAGLER ST,25.774153,-80.187071
6717,BISCAYNE BD & NE 7 ST,25.780748,-80.18914
6630,BISCAYNE BD & NE 2 ST,25.776525,-80.187488
6631,BISCAYNE BD & NE 4 ST,25.778038,-80.187931
10530,BISCAYNE BD & NE 11 ST,25.78452,-80.189152
7918,MACARTHUR CY & WATSON ISLAND,25.785022,-80.175926
359,5 ST & LENOX AV,25.77417,-80.139731
2703,WASHINGTON AV & 5 ST,25.774986,-80.133925
2707,WASHINGTON AV & 9 ST,25.779983,-80.132903
2709,WASHINGTON AV & 13 ST,25.784338,-80.131973
360,LINCOLN RD & JAMES AV,25.790611,-80.131081
2620,COLLINS AV & 17 ST,25.792114,-80.129688
2623,COLLINS AV & 22 ST,25.797346,-80.128328
2624,COLLINS AV & 24 ST,25.800321,-80.126881
2628,COLLINS AV & 31 ST,25.806827,-80.124101
666,COLLINS AVE & 41 ST,25.812789,-80.122965
2631,COLLINS AV & 43 ST,25.814338,-80.122729
2634,COLLINS AV@# 4525,25.820333,-80.122554
